10	5	4	7	14	11	8	10	7	4	4	8	9	13	12	4	6	13	6	6	10	10	8	5	12	14	6	6	2	0	13	12	
6	3	5	5	0	13	1	7	3	5	1	12	3	14	2	10	12	9	1	7	4	10	12	1	9	4	7	12	5	6	10	11	
10	0	1	10	14	3	3	3	9	4	1	13	3	4	8	0	13	9	7	3	5	5	4	14	9	12	12	14	4	7	10	0	
8	12	10	8	1	13	11	10	3	13	8	6	2	1	7	0	11	0	3	1	5	8	1	0	6	14	14	11	6	10	11	0	
8	7	8	9	5	4	5	9	2	13	0	5	0	7	6	12	8	10	14	13	3	0	13	10	0	13	7	6	9	3	6	2	
10	14	12	1	4	2	10	7	1	11	12	2	4	3	14	12	13	13	11	2	14	9	13	14	8	5	6	2	9	13	4	4	
12	2	6	2	4	2	9	6	14	7	8	3	11	7	1	10	6	12	12	5	7	11	5	0	2	11	2	11	9	7	0	7	
9	7	10	14	9	4	5	8	12	13	12	8	6	13	3	12	11	1	3	3	13	9	3	0	5	5	11	0	13	12	8	7	
4	3	7	14	8	12	8	6	11	5	14	3	4	3	1	0	5	4	3	3	13	7	3	4	13	14	5	11	11	13	4	1	
2	11	1	11	9	9	2	5	0	1	9	4	5	10	5	10	14	9	13	13	1	1	2	14	1	7	10	12	6	14	14	9	
11	0	5	5	9	7	10	10	8	4	0	14	14	5	9	14	0	7	12	1	9	0	1	10	8	11	8	0	11	7	9	7	
8	14	12	3	6	8	13	0	13	13	14	13	4	8	13	4	1	11	6	10	11	7	6	5	4	14	6	0	7	0	8	0	
14	6	3	6	0	2	6	13	1	6	12	5	0	10	10	1	7	1	12	4	9	3	9	13	3	0	14	10	1	7	10	0	
14	14	7	14	1	13	13	3	5	11	8	5	6	4	7	14	5	5	3	0	8	12	13	12	13	12	7	14	5	3	0	5	
3	7	5	5	6	3	8	11	14	1	2	6	6	10	5	12	0	9	12	9	6	10	6	5	8	13	5	14	2	5	4	5	
13	9	10	5	13	3	2	13	5	4	4	11	14	10	8	0	4	6	9	11	1	1	2	10	0	7	9	2	13	14	8	11	
8	3	1	7	7	3	5	13	8	10	10	8	5	4	8	10	10	3	7	12	4	9	7	4	2	2	7	0	1	0	12	10	
4	14	2	12	2	8	10	11	3	6	4	9	11	13	5	6	2	12	4	6	7	11	11	9	14	3	10	0	3	7	11	7	
6	14	4	9	7	0	5	10	7	10	4	3	9	9	10	11	7	14	2	14	11	14	9	10	2	4	11	5	12	8	13	3	
7	3	12	14	3	3	10	11	13	0	14	7	10	9	4	2	8	7	2	5	6	12	0	8	1	12	14	13	5	12	2	12	
1	0	12	5	3	7	1	2	7	0	10	3	10	14	6	4	6	8	9	13	5	9	6	7	6	6	6	11	4	8	9	5	
9	6	10	12	14	11	14	7	12	10	10	7	9	1	11	1	10	5	14	1	0	6	8	7	12	0	4	1	9	13	7	3	
5	2	1	4	13	1	11	11	11	7	3	6	8	14	7	4	5	7	5	5	13	14	13	11	14	2	12	9	0	4	12	6	
7	14	10	6	0	7	2	12	14	5	3	8	5	11	12	11	3	3	1	1	2	14	13	2	2	11	11	3	0	9	9	8	
8	5	14	9	12	1	6	12	7	9	6	12	5	4	9	9	7	10	10	10	10	8	12	13	5	9	1	5	3	10	14	12	
0	13	6	13	0	13	11	7	8	2	5	13	7	14	7	14	10	3	9	6	12	7	4	2	1	6	8	4	1	8	2	2	
6	9	0	7	7	12	0	0	14	5	14	6	5	7	6	1	10	1	8	8	8	13	11	10	4	5	14	6	13	2	9	4	
11	10	12	3	7	12	4	7	3	4	14	9	11	5	10	7	7	4	0	1	2	12	11	7	2	11	14	0	13	8	5	9	
3	2	13	10	14	3	3	3	7	2	12	3	7	8	11	0	12	12	1	0	9	12	8	11	8	7	12	6	1	3	1	5	
5	0	1	5	3	4	9	11	6	6	14	14	14	10	14	12	7	0	12	2	13	6	14	7	14	12	14	0	0	0	5	6	
1	6	12	4	10	6	1	2	12	1	1	12	12	0	9	4	1	7	7	0	13	6	7	12	3	6	13	4	7	3	10	8	
10	7	13	6	14	0	8	11	1	9	9	13	10	4	3	12	12	10	13	10	2	5	8	6	12	6	10	5	10	5	14	6	
